AREA_TOTAL,TOTAL_FAMILIARES,TOTAL_EMPREGADOS,VT_ANIMAL,VT_VEGETAL,VA_AGROINDUSTRIA,VT_PRODUCAO
12,12,0,,3500,,3500
4.2,2,0,424,100,,524
16.7,3,0,10710,26985.7,,37695.7
128,3,0,25475,100124.55,,125599.55
17,2,0,500,860,,1360
60,2,0,2582,4000,,6582
3.5,2,13,900,28200,,29100
5,3,0,3308,1150,,4458
36.3,1,0,8000,200,,8200
26,6,0,2148,6058,,8206
17,2,0,2050,100,,2150
83,3,0,1810,46700,,48510
6,3,2,,51063.5,,51063.5
4,2,3,3842,15,,3857
52,1,2,1245,4725,,5970
177,2,2,1670,1500,,3170
5,2,0,,21632,,21632
137.94,1,0,2600,27060,,29660
27.7,6,3,11545,17682,,29227
22.25,3,0,,88.16,,88.16
0.1,2,0,345,250,,595
600,3,0,1800,,,1800
14,2,0,2500,13886,,16386
4,3,0,24300,,,24300
100,3,0,8529,72600,,81129
14.52,4,0,7570,70560,,78130
93,1,0,,,,0
232.32,2,2,75,12.6,,87.6
19.36,1,0,,1616,,1616
15,4,0,1680,,,1680
48,1,0,,53625,,53625
19.36,2,0,9400,9000,,18400
13,1,0,,145219,,145219
1815,1,46,,5596000,,5596000
2,2,0,40,16010,,16050
1,2,0,24279.4,560,,24839.4
19,2,0,1000,14170,,15170
84.7,2,1,4960,5575,,10535
9.1,2,0,3158.2,25950,,29108.2
11,2,0,600,143,,743
2.5,1,0,,2470,,2470
14.5,2,0,10532,5850,,16382
25,2,0,14480,4910,,19390
1.82,3,0,2580,1400,,3980
0.08,1,0,50,223.2,,273.2
6,1,0,583,5298.45,,5881.45
48.4,2,0,2710,1980,,4690
11,2,0,9255,12846,,22101
4.2,4,0,4825.6,3300,,8125.6
48.4,2,5,1300,11900,,13200
12,2,0,8256,67817.4,,76073.4
17,2,0,2018,100,,2118
12.1,3,0,10360,83450,,93810
4.84,1,0,,1635,,1635
15.73,3,0,8220,,,8220
31.5,1,0,,,,0
18.1,1,0,11519,2820,,14339
9,2,0,1568,37598.1,,39166.1
353.32,1,2,,234000,,234000
7.5,1,0,,,,0
7,1,0,10,,,10
2,2,0,,50,,50
10.3,3,0,9756,1410,,11166
25,1,0,845,60150,,60995
58.08,2,0,226200,100,,226300
20,2,0,13900,39124,,53024
9,3,0,3470,7702,,11172
130,2,5,35000,1260,,36260
3,2,4,,765000,,765000
4,3,0,,27040,,27040
